平成24年,人口動態調査,,
中巻　総覧　　第１表,人口動態総覧，都道府県（２１大都市再掲）別
注：熊本市は平成２４年４月から指定都市となったが、１月分からの数値を計上している。
　　１）　死産率は死産数を出産数（死産数に出生数を加えたもの）で除している。
　　２）　周産期死亡率は周産期死亡数を出産数（妊娠満22週以後の死産数に出生数を加えたもの）で除している。
　　３）　妊娠満22週以後の死産率は、妊娠満22週以後の死産数を出産数（妊娠満22週以後の死産数に出生数を加えたもの）で除している。
,出生数,（再掲）,死亡数,（再掲）,,自　然,死産数,,,周産期死亡数,,,婚姻件数,離婚件数,出生率,出生子,死亡率,乳　児,新生児,自　然,死産率,自　然,人　工,周産期,22週以後,早期新生,婚姻率,離婚率
,　　　,2500g未満,　　　,乳児死亡数,新生児,増減数,総　数,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　,　　　,の性比,　　　,死亡率,死亡率,増減率,　　　,死産率,死産率,死亡率,の死産率,児死亡率,　　　,　　　
,,,,,死亡数,,,,,,の死産数,死亡数,,,(人口千対),女100対男,(人口千対),(出生千対),(出生千対),(人口千対),(出産千対),(出産千対),(出産千対),(出産千対),(出産千対),(出生千対),(人口千対),(人口千対)
全　　　国,1037231,99311,1256359,2299,1065,-219128,24800,11448,13352,4133,3343,790,668869,235406,8.2,105.2,10.0,2.2,1.0,-1.7,23.4,10.8,12.6,4.0,3.2,0.8,5.3,1.87
０１北海道,38686,3764,58066,88,43,-19380,1177,473,704,160,130,30,26538,11593,7.1,104.3,10.7,2.3,1.1,-3.6,29.5,11.9,17.7,4.1,3.3,0.8,4.9,2.13
０２青　森,9168,871,17294,24,15,-8126,260,119,141,38,24,14,5846,2408,6.8,108.5,12.8,2.6,1.6,-6.0,27.6,12.6,15.0,4.1,2.6,1.5,4.3,1.79
０３岩　手,9276,863,16072,27,14,-6796,263,144,119,56,46,10,5629,1975,7.1,106.1,12.4,2.9,1.5,-5.2,27.6,15.1,12.5,6.0,4.9,1.1,4.3,1.52
０４宮　城,18707,1786,22101,42,19,-3394,487,222,265,71,58,13,12315,3957,8.1,103.8,9.5,2.2,1.0,-1.5,25.4,11.6,13.8,3.8,3.1,0.7,5.3,1.71
０５秋　田,6543,622,14856,11,6,-8313,171,82,89,27,21,6,4020,1495,6.2,100.6,14.0,1.7,0.9,-7.8,25.5,12.2,13.3,4.1,3.2,0.9,3.8,1.41
０６山　形,8212,719,14752,23,16,-6540,216,90,126,40,29,11,4881,1687,7.2,105.0,12.9,2.8,1.9,-5.7,25.6,10.7,15.0,4.9,3.5,1.3,4.3,1.47
０７福　島,13770,1329,23418,30,13,-9648,388,212,176,63,56,7,9285,3210,7.0,105.7,12.0,2.2,0.9,-4.9,27.4,15.0,12.4,4.6,4.1,0.5,4.7,1.64
