平成２４年,人口動態調査,,
中巻　総覧　第２表－１７　人口動態総覧，都道府県（石川県）；保健所・市区町村別
,出生数,（再掲）,死亡数,（再掲）, ,死産数, ,周産期死亡, , ,婚姻件数,離婚件数
,　　　,2500g未満,　　　,乳児死亡数,新生児,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　
,,,,,死亡数,,,,の死産数,死亡数,,
１７石　川　　,9544,823,12223,19,13,111,78,36,28,8,5708,1765
　　市　部　　,8564,729,10315,19,13,88,75,31,23,8,5089,1569
　　郡　部　　,980,94,1908,-,-,23,3,5,5,-,619,196
1734金沢市　　　　　　　,4155,361,4158,7,3,42,29,10,9,1,　　　　...,　　　　...
1762南加賀　　　　　　　,1930,148,2531,3,3,20,24,10,8,2,　　　　...,　　　　...
1763石川中央　　　　　　,2338,199,2148,6,4,35,16,9,6,3,　　　　...,　　　　...
1764能登中部　　　　　　,795,79,1930,3,3,11,5,7,5,2,　　　　...,　　　　...
1765能登北部　　　　　　,326,36,1456,-,-,3,4,-,-,-,　　　　...,　　　　...
17201金沢市　　　　　,4155,361,4158,7,3,42,29,10,9,1,2549,739
17202七尾市　　　　　,334,29,794,2,2,2,3,3,2,1,226,78
17203小松市　　　　　,953,84,1106,2,2,10,13,6,4,2,532,158
17204輪島市　　　　　,139,8,588,-,-,-,2,-,-,-,87,38
17205珠洲市　　　　　,66,12,329,-,-,2,2,-,-,-,44,14
17206加賀市　　　　　,489,22,906,-,-,6,7,2,2,-,294,115
17207羽咋市　　　　　,137,19,302,1,1,1,1,2,1,1,88,29
17209かほく市　　　　,282,29,352,2,1,1,2,-,-,-,137,53
17210白山市　　　　　,914,66,997,2,2,10,7,3,1,2,513,170
17211能美市　　　　　,409,32,468,1,1,3,4,1,1,-,227,69
17212野々市市　　　　,686,67,315,2,1,11,5,4,3,1,392,106
17324川北町　　　　　,79,10,51,-,-,1,-,1,1,-,36,12
17361津幡町　　　　　,268,16,292,-,-,6,2,-,-,-,169,43
17365内灘町　　　　　,188,21,192,-,-,7,-,2,2,-,128,44
17384志賀町　　　　　,121,6,362,-,-,5,-,1,1,-,90,28
17386宝達志水町　　　,72,3,187,-,-,-,1,-,-,-,53,15
17407中能登町　　　　,131,22,285,-,-,3,-,1,1,-,56,27
17461穴水町　　　　　,35,4,174,-,-,-,-,-,-,-,27,6
17463能登町　　　　　,86,12,365,-,-,1,-,-,-,-,60,21
